County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Los Angeles County,California, California,"Los Angeles County, California",. . No health insurance coverage,"304,728",  No health insurance coverage,No health insurance coverage
Los Angeles County,California, California,"Los Angeles County, California",. 18 to 64 years:,"6,212,171", 18 to 64 years,18 to 64 years
Los Angeles County,California, California,"Los Angeles County, California",. . With health insurance coverage,"4,422,822",  With health insurance coverage,With health insurance coverage
Los Angeles County,California, California,"Los Angeles County, California",. . No health insurance coverage,"1,789,349",  No health insurance coverage,No health insurance coverage
Los Angeles County,California, California,"Los Angeles County, California",. 65 years or over:,"1,020,512", 65 years or over,65 years or over
Los Angeles County,California, California,"Los Angeles County, California",. . With health insurance coverage,"994,511",  With health insurance coverage,With health insurance coverage
Los Angeles County,California, California,"Los Angeles County, California",. . No health insurance coverage,"26,001",  No health insurance coverage,No health insurance coverage
Madera County,California, California,"Madera County, California",Total:,"136,154",Total,Total
Madera County,California, California,"Madera County, California",. Under 18 years:,"41,023", Under 18 years,Under 18 years
Madera County,California, California,"Madera County, California",. . With health insurance coverage,"36,933",  With health insurance coverage,With health insurance coverage
Madera County,California, California,"Madera County, California",. . No health insurance coverage,"4,090",  No health insurance coverage,No health insurance coverage
Madera County,California, California,"Madera County, California",. 18 to 64 years:,"80,485", 18 to 64 years,18 to 64 years
Madera County,California, California,"Madera County, California",. . With health insurance coverage,"55,081",  With health insurance coverage,With health insurance coverage
Madera County,California, California,"Madera County, California",. . No health insurance coverage,"25,404",  No health insurance coverage,No health insurance coverage
Madera County,California, California,"Madera County, California",. 65 years or over:,"14,646", 65 years or over,65 years or over
Madera County,California, California,"Madera County, California",. . With health insurance coverage,"14,465",  With health insurance coverage,With health insurance coverage
Madera County,California, California,"Madera County, California",. . No health insurance coverage,181,  No health insurance coverage,No health insurance coverage
Marin County,California, California,"Marin County, California",Total:,"242,014",Total,Total
Marin County,California, California,"Marin County, California",. Under 18 years:,"47,992", Under 18 years,Under 18 years
Marin County,California, California,"Marin County, California",. . With health insurance coverage,"44,190",  With health insurance coverage,With health insurance coverage
Marin County,California, California,"Marin County, California",. . No health insurance coverage,"3,802",  No health insurance coverage,No health insurance coverage
Marin County,California, California,"Marin County, California",. 18 to 64 years:,"155,177", 18 to 64 years,18 to 64 years
Marin County,California, California,"Marin County, California",. . With health insurance coverage,"134,473",  With health insurance coverage,With health insurance coverage
Marin County,California, California,"Marin County, California",. . No health insurance coverage,"20,704",  No health insurance coverage,No health insurance coverage
Marin County,California, California,"Marin County, California",. 65 years or over:,"38,845", 65 years or over,65 years or over
Marin County,California, California,"Marin County, California",. . With health insurance coverage,"38,613",  With health insurance coverage,With health insurance coverage
Marin County,California, California,"Marin County, California",. . No health insurance coverage,232,  No health insurance coverage,No health insurance coverage
Mendocino County,California, California,"Mendocino County, California",Total:,"85,787",Total,Total
Mendocino County,California, California,"Mendocino County, California",. Under 18 years:,"19,270", Under 18 years,Under 18 years
Mendocino County,California, California,"Mendocino County, California",. . With health insurance coverage,"16,306",  With health insurance coverage,With health insurance coverage
Mendocino County,California, California,"Mendocino County, California",. . No health insurance coverage,"2,964",  No health insurance coverage,No health insurance coverage
Mendocino County,California, California,"Mendocino County, California",. 18 to 64 years:,"54,170", 18 to 64 years,18 to 64 years
Mendocino County,California, California,"Mendocino County, California",. . With health insurance coverage,"39,612",  With health insurance coverage,With health insurance coverage
Mendocino County,California, California,"Mendocino County, California",. . No health insurance coverage,"14,558",  No health insurance coverage,No health insurance coverage
Mendocino County,California, California,"Mendocino County, California",. 65 years or over:,"12,347", 65 years or over,65 years or over
Mendocino County,California, California,"Mendocino County, California",. . With health insurance coverage,"12,135",  With health insurance coverage,With health insurance coverage
Mendocino County,California, California,"Mendocino County, California",. . No health insurance coverage,212,  No health insurance coverage,No health insurance coverage
Merced County,California, California,"Merced County, California",Total:,"243,221",Total,Total
Merced County,California, California,"Merced County, California",. Under 18 years:,"76,851", Under 18 years,Under 18 years
Merced County,California, California,"Merced County, California",. . With health insurance coverage,"71,506",  With health insurance coverage,With health insurance coverage
Merced County,California, California,"Merced County, California",. . No health insurance coverage,"5,345",  No health insurance coverage,No health insurance coverage
Merced County,California, California,"Merced County, California",. 18 to 64 years:,"142,998", 18 to 64 years,18 to 64 years
Merced County,California, California,"Merced County, California",. . With health insurance coverage,"102,026",  With health insurance coverage,With health insurance coverage
Merced County,California, California,"Merced County, California",. . No health insurance coverage,"40,972",  No health insurance coverage,No health insurance coverage
Merced County,California, California,"Merced County, California",. 65 years or over:,"23,372", 65 years or over,65 years or over
Merced County,California, California,"Merced County, California",. . With health insurance coverage,"23,238",  With health insurance coverage,With health insurance coverage
Merced County,California, California,"Merced County, California",. . No health insurance coverage,134,  No health insurance coverage,No health insurance coverage
Monterey County,California, California,"Monterey County, California",Total:,"389,636",Total,Total
Monterey County,California, California,"Monterey County, California",. Under 18 years:,"111,388", Under 18 years,Under 18 years
Monterey County,California, California,"Monterey County, California",. . With health insurance coverage,"99,708",  With health insurance coverage,With health insurance coverage
Monterey County,California, California,"Monterey County, California",. . No health insurance coverage,"11,680",  No health insurance coverage,No health insurance coverage
Monterey County,California, California,"Monterey County, California",. 18 to 64 years:,"237,486", 18 to 64 years,18 to 64 years
Monterey County,California, California,"Monterey County, California",. . With health insurance coverage,"169,521",  With health insurance coverage,With health insurance coverage
Monterey County,California, California,"Monterey County, California",. . No health insurance coverage,"67,965",  No health insurance coverage,No health insurance coverage
Monterey County,California, California,"Monterey County, California",. 65 years or over:,"40,762", 65 years or over,65 years or over
Monterey County,California, California,"Monterey County, California",. . With health insurance coverage,"40,338",  With health insurance coverage,With health insurance coverage
Monterey County,California, California,"Monterey County, California",. . No health insurance coverage,424,  No health insurance coverage,No health insurance coverage
Napa County,California, California,"Napa County, California",Total:,"131,348",Total,Total
Napa County,California, California,"Napa County, California",. Under 18 years:,"29,993", Under 18 years,Under 18 years
Napa County,California, California,"Napa County, California",. . With health insurance coverage,"27,418",  With health insurance coverage,With health insurance coverage
Napa County,California, California,"Napa County, California",. . No health insurance coverage,"2,575",  No health insurance coverage,No health insurance coverage
Napa County,California, California,"Napa County, California",. 18 to 64 years:,"82,191", 18 to 64 years,18 to 64 years
Napa County,California, California,"Napa County, California",. . With health insurance coverage,"69,365",  With health insurance coverage,With health insurance coverage
Napa County,California, California,"Napa County, California",. . No health insurance coverage,"12,826",  No health insurance coverage,No health insurance coverage
Napa County,California, California,"Napa County, California",. 65 years or over:,"19,164", 65 years or over,65 years or over
Napa County,California, California,"Napa County, California",. . With health insurance coverage,"18,871",  With health insurance coverage,With health insurance coverage
Napa County,California, California,"Napa County, California",. . No health insurance coverage,293,  No health insurance coverage,No health insurance coverage
Nevada County,California, California,"Nevada County, California",Total:,"96,790",Total,Total
Nevada County,California, California,"Nevada County, California",. Under 18 years:,"17,691", Under 18 years,Under 18 years
Nevada County,California, California,"Nevada County, California",. . With health insurance coverage,"15,047",  With health insurance coverage,With health insurance coverage
Nevada County,California, California,"Nevada County, California",. . No health insurance coverage,"2,644",  No health insurance coverage,No health insurance coverage
Nevada County,California, California,"Nevada County, California",. 18 to 64 years:,"61,885", 18 to 64 years,18 to 64 years
Nevada County,California, California,"Nevada County, California",. . With health insurance coverage,"49,497",  With health insurance coverage,With health insurance coverage
Nevada County,California, California,"Nevada County, California",. . No health insurance coverage,"12,388",  No health insurance coverage,No health insurance coverage
Nevada County,California, California,"Nevada County, California",. 65 years or over:,"17,214", 65 years or over,65 years or over
Nevada County,California, California,"Nevada County, California",. . With health insurance coverage,"17,157",  With health insurance coverage,With health insurance coverage
Nevada County,California, California,"Nevada County, California",. . No health insurance coverage,57,  No health insurance coverage,No health insurance coverage
Orange County,California, California,"Orange County, California",Total:,"2,994,353",Total,Total
Orange County,California, California,"Orange County, California",. Under 18 years:,"764,714", Under 18 years,Under 18 years
Orange County,California, California,"Orange County, California",. . With health insurance coverage,"685,612",  With health insurance coverage,With health insurance coverage
Orange County,California, California,"Orange County, California",. . No health insurance coverage,"79,102",  No health insurance coverage,No health insurance coverage
Orange County,California, California,"Orange County, California",. 18 to 64 years:,"1,893,530", 18 to 64 years,18 to 64 years
Orange County,California, California,"Orange County, California",. . With health insurance coverage,"1,478,995",  With health insurance coverage,With health insurance coverage
Orange County,California, California,"Orange County, California",. . No health insurance coverage,"414,535",  No health insurance coverage,No health insurance coverage
Orange County,California, California,"Orange County, California",. 65 years or over:,"336,109", 65 years or over,65 years or over
Orange County,California, California,"Orange County, California",. . With health insurance coverage,"329,562",  With health insurance coverage,With health insurance coverage
Orange County,California, California,"Orange County, California",. . No health insurance coverage,"6,547",  No health insurance coverage,No health insurance coverage
Placer County,California, California,"Placer County, California",Total:,"339,161",Total,Total
Placer County,California, California,"Placer County, California",. Under 18 years:,"74,365", Under 18 years,Under 18 years
Placer County,California, California,"Placer County, California",. . With health insurance coverage,"72,005",  With health insurance coverage,With health insurance coverage
Placer County,California, California,"Placer County, California",. . No health insurance coverage,"2,360",  No health insurance coverage,No health insurance coverage
Placer County,California, California,"Placer County, California",. 18 to 64 years:,"214,063", 18 to 64 years,18 to 64 years
Placer County,California, California,"Placer County, California",. . With health insurance coverage,"188,289",  With health insurance coverage,With health insurance coverage
Placer County,California, California,"Placer County, California",. . No health insurance coverage,"25,774",  No health insurance coverage,No health insurance coverage
Placer County,California, California,"Placer County, California",. 65 years or over:,"50,733", 65 years or over,65 years or over
Placer County,California, California,"Placer County, California",. . With health insurance coverage,"50,131",  With health insurance coverage,With health insurance coverage
Placer County,California, California,"Placer County, California",. . No health insurance coverage,602,  No health insurance coverage,No health insurance coverage
Riverside County,California, California,"Riverside County, California",Total:,"2,078,728",Total,Total
Riverside County,California, California,"Riverside County, California",. Under 18 years:,"583,162", Under 18 years,Under 18 years
Riverside County,California, California,"Riverside County, California",. . With health insurance coverage,"508,244",  With health insurance coverage,With health insurance coverage
Riverside County,California, California,"Riverside County, California",. . No health insurance coverage,"74,918",  No health insurance coverage,No health insurance coverage
Riverside County,California, California,"Riverside County, California",. 18 to 64 years:,"1,256,064", 18 to 64 years,18 to 64 years
Riverside County,California, California,"Riverside County, California",. . With health insurance coverage,"916,684",  With health insurance coverage,With health insurance coverage
Riverside County,California, California,"Riverside County, California",. . No health insurance coverage,"339,380",  No health insurance coverage,No health insurance coverage
Riverside County,California, California,"Riverside County, California",. 65 years or over:,"239,502", 65 years or over,65 years or over
Riverside County,California, California,"Riverside County, California",. . With health insurance coverage,"235,049",  With health insurance coverage,With health insurance coverage
Riverside County,California, California,"Riverside County, California",. . No health insurance coverage,"4,453",  No health insurance coverage,No health insurance coverage
Sacramento County,California, California,"Sacramento County, California",Total:,"1,372,792",Total,Total
Sacramento County,California, California,"Sacramento County, California",. Under 18 years:,"362,094", Under 18 years,Under 18 years
Sacramento County,California, California,"Sacramento County, California",. . With health insurance coverage,"344,211",  With health insurance coverage,With health insurance coverage
Sacramento County,California, California,"Sacramento County, California",. . No health insurance coverage,"17,883",  No health insurance coverage,No health insurance coverage
Sacramento County,California, California,"Sacramento County, California",. 18 to 64 years:,"856,140", 18 to 64 years,18 to 64 years
Sacramento County,California, California,"Sacramento County, California",. . With health insurance coverage,"708,489",  With health insurance coverage,With health insurance coverage
Sacramento County,California, California,"Sacramento County, California",. . No health insurance coverage,"147,651",  No health insurance coverage,No health insurance coverage
Sacramento County,California, California,"Sacramento County, California",. 65 years or over:,"154,558", 65 years or over,65 years or over
Sacramento County,California, California,"Sacramento County, California",. . With health insurance coverage,"153,406",  With health insurance coverage,With health insurance coverage
Sacramento County,California, California,"Sacramento County, California",. . No health insurance coverage,"1,152",  No health insurance coverage,No health insurance coverage
San Bernardino County,California, California,"San Bernardino County, California",Total:,"1,971,812",Total,Total
San Bernardino County,California, California,"San Bernardino County, California",. Under 18 years:,"589,359", Under 18 years,Under 18 years
San Bernardino County,California, California,"San Bernardino County, California",. . With health insurance coverage,"519,368",  With health insurance coverage,With health insurance coverage
San Bernardino County,California, California,"San Bernardino County, California",. . No health insurance coverage,"69,991",  No health insurance coverage,No health insurance coverage
San Bernardino County,California, California,"San Bernardino County, California",. 18 to 64 years:,"1,215,763", 18 to 64 years,18 to 64 years
San Bernardino County,California, California,"San Bernardino County, California",. . With health insurance coverage,"901,228",  With health insurance coverage,With health insurance coverage
San Bernardino County,California, California,"San Bernardino County, California",. . No health insurance coverage,"314,535",  No health insurance coverage,No health insurance coverage
San Bernardino County,California, California,"San Bernardino County, California",. 65 years or over:,"166,690", 65 years or over,65 years or over
San Bernardino County,California, California,"San Bernardino County, California",. . With health insurance coverage,"163,214",  With health insurance coverage,With health insurance coverage
San Bernardino County,California, California,"San Bernardino County, California",. . No health insurance coverage,"3,476",  No health insurance coverage,No health insurance coverage
San Diego County,California, California,"San Diego County, California",Total:,"2,887,238",Total,Total
San Diego County,California, California,"San Diego County, California",. Under 18 years:,"743,749", Under 18 years,Under 18 years
San Diego County,California, California,"San Diego County, California",. . With health insurance coverage,"658,150",  With health insurance coverage,With health insurance coverage
San Diego County,California, California,"San Diego County, California",. . No health insurance coverage,"85,599",  No health insurance coverage,No health insurance coverage
San Diego County,California, California,"San Diego County, California",. 18 to 64 years:,"1,813,386", 18 to 64 years,18 to 64 years
San Diego County,California, California,"San Diego County, California",. . With health insurance coverage,"1,413,873",  With health insurance coverage,With health insurance coverage
San Diego County,California, California,"San Diego County, California",. . No health insurance coverage,"399,513",  No health insurance coverage,No health insurance coverage
San Diego County,California, California,"San Diego County, California",. 65 years or over:,"330,103", 65 years or over,65 years or over
San Diego County,California, California,"San Diego County, California",. . With health insurance coverage,"325,700",  With health insurance coverage,With health insurance coverage
San Diego County,California, California,"San Diego County, California",. . No health insurance coverage,"4,403",  No health insurance coverage,No health insurance coverage
San Francisco County,California, California,"San Francisco County, California",Total:,"803,161",Total,Total
San Francisco County,California, California,"San Francisco County, California",. Under 18 years:,"118,408", Under 18 years,Under 18 years
San Francisco County,California, California,"San Francisco County, California",. . With health insurance coverage,"113,508",  With health insurance coverage,With health insurance coverage
San Francisco County,California, California,"San Francisco County, California",. . No health insurance coverage,"4,900",  No health insurance coverage,No health insurance coverage
San Francisco County,California, California,"San Francisco County, California",. 18 to 64 years:,"567,854", 18 to 64 years,18 to 64 years
San Francisco County,California, California,"San Francisco County, California",. . With health insurance coverage,"494,241",  With health insurance coverage,With health insurance coverage
San Francisco County,California, California,"San Francisco County, California",. . No health insurance coverage,"73,613",  No health insurance coverage,No health insurance coverage
San Francisco County,California, California,"San Francisco County, California",. 65 years or over:,"116,899", 65 years or over,65 years or over
San Francisco County,California, California,"San Francisco County, California",. . With health insurance coverage,"115,454",  With health insurance coverage,With health insurance coverage
San Francisco County,California, California,"San Francisco County, California",. . No health insurance coverage,"1,445",  No health insurance coverage,No health insurance coverage
San Joaquin County,California, California,"San Joaquin County, California",Total:,"663,932",Total,Total
San Joaquin County,California, California,"San Joaquin County, California",. Under 18 years:,"194,226", Under 18 years,Under 18 years
San Joaquin County,California, California,"San Joaquin County, California",. . With health insurance coverage,"181,699",  With health insurance coverage,With health insurance coverage
San Joaquin County,California, California,"San Joaquin County, California",. . No health insurance coverage,"12,527",  No health insurance coverage,No health insurance coverage
San Joaquin County,California, California,"San Joaquin County, California",. 18 to 64 years:,"403,746", 18 to 64 years,18 to 64 years
San Joaquin County,California, California,"San Joaquin County, California",. . With health insurance coverage,"314,136",  With health insurance coverage,With health insurance coverage
San Joaquin County,California, California,"San Joaquin County, California",. . No health insurance coverage,"89,610",  No health insurance coverage,No health insurance coverage
San Joaquin County,California, California,"San Joaquin County, California",. 65 years or over:,"65,960", 65 years or over,65 years or over
San Joaquin County,California, California,"San Joaquin County, California",. . With health insurance coverage,"65,158",  With health insurance coverage,With health insurance coverage
San Joaquin County,California, California,"San Joaquin County, California",. . No health insurance coverage,802,  No health insurance coverage,No health insurance coverage
San Luis Obispo County,California, California,"San Luis Obispo County, California",Total:,"255,731",Total,Total
San Luis Obispo County,California, California,"San Luis Obispo County, California",. Under 18 years:,"49,354", Under 18 years,Under 18 years
San Luis Obispo County,California, California,"San Luis Obispo County, California",. . With health insurance coverage,"44,642",  With health insurance coverage,With health insurance coverage
San Luis Obispo County,California, California,"San Luis Obispo County, California",. . No health insurance coverage,"4,712",  No health insurance coverage,No health insurance coverage
San Luis Obispo County,California, California,"San Luis Obispo County, California",. 18 to 64 years:,"169,423", 18 to 64 years,18 to 64 years
San Luis Obispo County,California, California,"San Luis Obispo County, California",. . With health insurance coverage,"138,633",  With health insurance coverage,With health insurance coverage
San Luis Obispo County,California, California,"San Luis Obispo County, California",. . No health insurance coverage,"30,790",  No health insurance coverage,No health insurance coverage
San Luis Obispo County,California, California,"San Luis Obispo County, California",. 65 years or over:,"36,954", 65 years or over,65 years or over
San Luis Obispo County,California, California,"San Luis Obispo County, California",. . With health insurance coverage,"36,746",  With health insurance coverage,With health insurance coverage
San Luis Obispo County,California, California,"San Luis Obispo County, California",. . No health insurance coverage,208,  No health insurance coverage,No health insurance coverage
San Mateo County,California, California,"San Mateo County, California",Total:,"705,280",Total,Total
San Mateo County,California, California,"San Mateo County, California",. Under 18 years:,"159,786", Under 18 years,Under 18 years
San Mateo County,California, California,"San Mateo County, California",. . With health insurance coverage,"147,575",  With health insurance coverage,With health insurance coverage
San Mateo County,California, California,"San Mateo County, California",. . No health insurance coverage,"12,211",  No health insurance coverage,No health insurance coverage
San Mateo County,California, California,"San Mateo County, California",. 18 to 64 years:,"453,998", 18 to 64 years,18 to 64 years
San Mateo County,California, California,"San Mateo County, California",. . With health insurance coverage,"387,621",  With health insurance coverage,With health insurance coverage
San Mateo County,California, California,"San Mateo County, California",. . No health insurance coverage,"66,377",  No health insurance coverage,No health insurance coverage
San Mateo County,California, California,"San Mateo County, California",. 65 years or over:,"91,496", 65 years or over,65 years or over
San Mateo County,California, California,"San Mateo County, California",. . With health insurance coverage,"90,363",  With health insurance coverage,With health insurance coverage
San Mateo County,California, California,"San Mateo County, California",. . No health insurance coverage,"1,133",  No health insurance coverage,No health insurance coverage
Santa Barbara County,California, California,"Santa Barbara County, California",Total:,"397,395",Total,Total
Santa Barbara County,California, California,"Santa Barbara County, California",. Under 18 years:,"95,548", Under 18 years,Under 18 years
Santa Barbara County,California, California,"Santa Barbara County, California",. . With health insurance coverage,"86,560",  With health insurance coverage,With health insurance coverage
Santa Barbara County,California, California,"Santa Barbara County, California",. . No health insurance coverage,"8,988",  No health insurance coverage,No health insurance coverage
Santa Barbara County,California, California,"Santa Barbara County, California",. 18 to 64 years:,"252,062", 18 to 64 years,18 to 64 years
Santa Barbara County,California, California,"Santa Barbara County, California",. . With health insurance coverage,"198,258",  With health insurance coverage,With health insurance coverage
Santa Barbara County,California, California,"Santa Barbara County, California",. . No health insurance coverage,"53,804",  No health insurance coverage,No health insurance coverage
Santa Barbara County,California, California,"Santa Barbara County, California",. 65 years or over:,"49,785", 65 years or over,65 years or over
Santa Barbara County,California, California,"Santa Barbara County, California",. . With health insurance coverage,"49,595",  With health insurance coverage,With health insurance coverage
Santa Barbara County,California, California,"Santa Barbara County, California",. . No health insurance coverage,190,  No health insurance coverage,No health insurance coverage
Santa Clara County,California, California,"Santa Clara County, California",Total:,"1,748,137",Total,Total
Santa Clara County,California, California,"Santa Clara County, California",. Under 18 years:,"426,914", Under 18 years,Under 18 years
Santa Clara County,California, California,"Santa Clara County, California",. . With health insurance coverage,"407,451",  With health insurance coverage,With health insurance coverage
Santa Clara County,California, California,"Santa Clara County, California",. . No health insurance coverage,"19,463",  No health insurance coverage,No health insurance coverage
Santa Clara County,California, California,"Santa Clara County, California",. 18 to 64 years:,"1,136,235", 18 to 64 years,18 to 64 years
Santa Clara County,California, California,"Santa Clara County, California",. . With health insurance coverage,"974,163",  With health insurance coverage,With health insurance coverage
Santa Clara County,California, California,"Santa Clara County, California",. . No health insurance coverage,"162,072",  No health insurance coverage,No health insurance coverage
Santa Clara County,California, California,"Santa Clara County, California",. 65 years or over:,"184,988", 65 years or over,65 years or over
Santa Clara County,California, California,"Santa Clara County, California",. . With health insurance coverage,"182,361",  With health insurance coverage,With health insurance coverage
Santa Clara County,California, California,"Santa Clara County, California",. . No health insurance coverage,"2,627",  No health insurance coverage,No health insurance coverage
Santa Cruz County,California, California,"Santa Cruz County, California",Total:,"251,772",Total,Total
Santa Cruz County,California, California,"Santa Cruz County, California",. Under 18 years:,"54,365", Under 18 years,Under 18 years
Santa Cruz County,California, California,"Santa Cruz County, California",. . With health insurance coverage,"50,856",  With health insurance coverage,With health insurance coverage
Santa Cruz County,California, California,"Santa Cruz County, California",. . No health insurance coverage,"3,509",  No health insurance coverage,No health insurance coverage
Santa Cruz County,California, California,"Santa Cruz County, California",. 18 to 64 years:,"170,663", 18 to 64 years,18 to 64 years
Santa Cruz County,California, California,"Santa Cruz County, California",. . With health insurance coverage,"139,384",  With health insurance coverage,With health insurance coverage
Santa Cruz County,California, California,"Santa Cruz County, California",. . No health insurance coverage,"31,279",  No health insurance coverage,No health insurance coverage
Santa Cruz County,California, California,"Santa Cruz County, California",. 65 years or over:,"26,744", 65 years or over,65 years or over
Santa Cruz County,California, California,"Santa Cruz County, California",. . With health insurance coverage,"26,666",  With health insurance coverage,With health insurance coverage
Santa Cruz County,California, California,"Santa Cruz County, California",. . No health insurance coverage,78,  No health insurance coverage,No health insurance coverage
Shasta County,California, California,"Shasta County, California",Total:,"178,735",Total,Total
Shasta County,California, California,"Shasta County, California",. Under 18 years:,"39,981", Under 18 years,Under 18 years
Shasta County,California, California,"Shasta County, California",. . With health insurance coverage,"34,921",  With health insurance coverage,With health insurance coverage
Shasta County,California, California,"Shasta County, California",. . No health insurance coverage,"5,060",  No health insurance coverage,No health insurance coverage
Shasta County,California, California,"Shasta County, California",. 18 to 64 years:,"111,888", 18 to 64 years,18 to 64 years
Shasta County,California, California,"Shasta County, California",. . With health insurance coverage,"84,332",  With health insurance coverage,With health insurance coverage
Shasta County,California, California,"Shasta County, California",. . No health insurance coverage,"27,556",  No health insurance coverage,No health insurance coverage
Shasta County,California, California,"Shasta County, California",. 65 years or over:,"26,866", 65 years or over,65 years or over
Shasta County,California, California,"Shasta County, California",. . With health insurance coverage,"26,866",  With health insurance coverage,With health insurance coverage
Shasta County,California, California,"Shasta County, California",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Solano County,California, California,"Solano County, California",Total:,"391,024",Total,Total
Solano County,California, California,"Solano County, California",. Under 18 years:,"102,650", Under 18 years,Under 18 years
Solano County,California, California,"Solano County, California",. . With health insurance coverage,"96,157",  With health insurance coverage,With health insurance coverage
Solano County,California, California,"Solano County, California",. . No health insurance coverage,"6,493",  No health insurance coverage,No health insurance coverage
Solano County,California, California,"Solano County, California",. 18 to 64 years:,"243,875", 18 to 64 years,18 to 64 years
Solano County,California, California,"Solano County, California",. . With health insurance coverage,"208,458",  With health insurance coverage,With health insurance coverage
Solano County,California, California,"Solano County, California",. . No health insurance coverage,"35,417",  No health insurance coverage,No health insurance coverage
Solano County,California, California,"Solano County, California",. 65 years or over:,"44,499", 65 years or over,65 years or over
Solano County,California, California,"Solano County, California",. . With health insurance coverage,"44,264",  With health insurance coverage,With health insurance coverage
Solano County,California, California,"Solano County, California",. . No health insurance coverage,235,  No health insurance coverage,No health insurance coverage
Sonoma County,California, California,"Sonoma County, California",Total:,"462,402",Total,Total
Sonoma County,California, California,"Sonoma County, California",. Under 18 years:,"102,159", Under 18 years,Under 18 years
Sonoma County,California, California,"Sonoma County, California",. . With health insurance coverage,"94,824",  With health insurance coverage,With health insurance coverage
Sonoma County,California, California,"Sonoma County, California",. . No health insurance coverage,"7,335",  No health insurance coverage,No health insurance coverage
Sonoma County,California, California,"Sonoma County, California",. 18 to 64 years:,"301,332", 18 to 64 years,18 to 64 years
Sonoma County,California, California,"Sonoma County, California",. . With health insurance coverage,"247,123",  With health insurance coverage,With health insurance coverage
Sonoma County,California, California,"Sonoma County, California",. . No health insurance coverage,"54,209",  No health insurance coverage,No health insurance coverage
Sonoma County,California, California,"Sonoma County, California",. 65 years or over:,"58,911", 65 years or over,65 years or over
Sonoma County,California, California,"Sonoma County, California",. . With health insurance coverage,"58,426",  With health insurance coverage,With health insurance coverage
Sonoma County,California, California,"Sonoma County, California",. . No health insurance coverage,485,  No health insurance coverage,No health insurance coverage
Stanislaus County,California, California,"Stanislaus County, California",Total:,"504,300",Total,Total
Stanislaus County,California, California,"Stanislaus County, California",. Under 18 years:,"145,319", Under 18 years,Under 18 years
Stanislaus County,California, California,"Stanislaus County, California",. . With health insurance coverage,"131,573",  With health insurance coverage,With health insurance coverage
Stanislaus County,California, California,"Stanislaus County, California",. . No health insurance coverage,"13,746",  No health insurance coverage,No health insurance coverage
Stanislaus County,California, California,"Stanislaus County, California",. 18 to 64 years:,"307,039", 18 to 64 years,18 to 64 years
Stanislaus County,California, California,"Stanislaus County, California",. . With health insurance coverage,"234,796",  With health insurance coverage,With health insurance coverage
Stanislaus County,California, California,"Stanislaus County, California",. . No health insurance coverage,"72,243",  No health insurance coverage,No health insurance coverage
Stanislaus County,California, California,"Stanislaus County, California",. 65 years or over:,"51,942", 65 years or over,65 years or over
Stanislaus County,California, California,"Stanislaus County, California",. . With health insurance coverage,"51,474",  With health insurance coverage,With health insurance coverage
Stanislaus County,California, California,"Stanislaus County, California",. . No health insurance coverage,468,  No health insurance coverage,No health insurance coverage
Sutter County,California, California,"Sutter County, California",Total:,"90,522",Total,Total
Sutter County,California, California,"Sutter County, California",. Under 18 years:,"24,732", Under 18 years,Under 18 years
Sutter County,California, California,"Sutter County, California",. . With health insurance coverage,"23,358",  With health insurance coverage,With health insurance coverage
Sutter County,California, California,"Sutter County, California",. . No health insurance coverage,"1,374",  No health insurance coverage,No health insurance coverage
Sutter County,California, California,"Sutter County, California",. 18 to 64 years:,"54,819", 18 to 64 years,18 to 64 years
Sutter County,California, California,"Sutter County, California",. . With health insurance coverage,"39,941",  With health insurance coverage,With health insurance coverage
Sutter County,California, California,"Sutter County, California",. . No health insurance coverage,"14,878",  No health insurance coverage,No health insurance coverage
Sutter County,California, California,"Sutter County, California",. 65 years or over:,"10,971", 65 years or over,65 years or over
Sutter County,California, California,"Sutter County, California",. . With health insurance coverage,"10,941",  With health insurance coverage,With health insurance coverage
Sutter County,California, California,"Sutter County, California",. . No health insurance coverage,30,  No health insurance coverage,No health insurance coverage
Tulare County,California, California,"Tulare County, California",Total:,"422,388",Total,Total
Tulare County,California, California,"Tulare County, California",. Under 18 years:,"135,431", Under 18 years,Under 18 years
Tulare County,California, California,"Tulare County, California",. . With health insurance coverage,"111,525",  With health insurance coverage,With health insurance coverage
Tulare County,California, California,"Tulare County, California",. . No health insurance coverage,"23,906",  No health insurance coverage,No health insurance coverage
Tulare County,California, California,"Tulare County, California",. 18 to 64 years:,"247,601", 18 to 64 years,18 to 64 years
Tulare County,California, California,"Tulare County, California",. . With health insurance coverage,"173,408",  With health insurance coverage,With health insurance coverage
Tulare County,California, California,"Tulare County, California",. . No health insurance coverage,"74,193",  No health insurance coverage,No health insurance coverage
Tulare County,California, California,"Tulare County, California",. 65 years or over:,"39,356", 65 years or over,65 years or over
Tulare County,California, California,"Tulare County, California",. . With health insurance coverage,"38,522",  With health insurance coverage,With health insurance coverage
Tulare County,California, California,"Tulare County, California",. . No health insurance coverage,834,  No health insurance coverage,No health insurance coverage
Ventura County,California, California,"Ventura County, California",Total:,"788,660",Total,Total
Ventura County,California, California,"Ventura County, California",. Under 18 years:,"206,381", Under 18 years,Under 18 years
Ventura County,California, California,"Ventura County, California",. . With health insurance coverage,"184,883",  With health insurance coverage,With health insurance coverage
Ventura County,California, California,"Ventura County, California",. . No health insurance coverage,"21,498",  No health insurance coverage,No health insurance coverage
